DATE,TOTAL,TIME,PM2.5,SO2_TIME,Location,YEAR,SO2
2020-05-01,2,2020-05-01 00:00:00,2.95724061e-08,2020-05-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-06-01,3,2020-06-01 00:00:00,1.95654079e-08,2020-06-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-07-01,2,2020-07-01 00:00:00,1.14444191e-08,2020-07-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-08-01,5,2020-08-01 00:00:00,1.03360618e-08,2020-08-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-09-01,8,2020-09-01 00:00:00,1.35499369e-08,2020-09-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-10-01,7,2020-10-01 00:00:00,2.91190432e-08,2020-10-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-11-01,7,2020-11-01 00:00:00,6.14840907e-08,2020-11-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-12-01,8,2020-12-01 00:00:00,6.58498946e-08,2020-12-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2021-01-01,9,2021-01-01 00:00:00,9.1823012e-08,2021-01-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-02-01,12,2021-02-01 00:00:00,1.42590271e-07,2021-02-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-03-01,8,2021-03-01 00:00:00,8.68114439e-08,2021-03-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-04-01,3,2021-04-01 00:00:00,5.13954466e-08,2021-04-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-05-01,2,2021-05-01 00:00:00,2.42332272e-08,2021-05-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-06-01,5,2021-06-01 00:00:00,2.19329146e-08,2021-06-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-07-01,2,2021-07-01 00:00:00,1.74047989e-08,2021-07-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-08-01,7,2021-08-01 00:00:00,1.1581712e-08,2021-08-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-09-01,5,2021-09-01 00:00:00,2.01708974e-08,2021-09-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-10-01,4,2021-10-01 00:00:00,2.77164292e-08,2021-10-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-11-01,5,2021-11-01 00:00:00,3.62017765e-08,2021-11-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2021-12-01,14,2021-12-01 00:00:00,1.33005604e-07,2021-12-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2021,
2022-01-01,13,2022-01-01 00:00:00,1.2546636e-07,2022-01-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-02-01,8,2022-02-01 00:00:00,1.39900662e-07,2022-02-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-03-01,8,2022-03-01 00:00:00,9.17235174e-08,2022-03-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-04-01,6,2022-04-01 00:00:00,4.124652e-08,2022-04-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-05-01,3,2022-05-01 00:00:00,3.55459402e-08,2022-05-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-06-01,2,2022-06-01 00:00:00,2.26663461e-08,2022-06-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-07-01,1,2022-07-01 00:00:00,1.61696755e-08,2022-07-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-08-01,3,2022-08-01 00:00:00,1.11704482e-08,2022-08-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-09-01,8,2022-09-01 00:00:00,1.20067165e-08,2022-09-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-10-01,10,2022-10-01 00:00:00,4.1174591e-08,2022-10-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-11-01,15,2022-11-01 00:00:00,5.37434448e-08,2022-11-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2022-12-01,17,2022-12-01 00:00:00,7.45865752e-08,2022-12-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2022,
2018-01-01,11,2018-01-01 00:00:00,1.60717351e-07,2018-01-01 00:00:00,STATION4,2018,
2018-02-01,10,2018-02-01 00:00:00,8.34819534e-08,2018-02-01 00:00:00,STATION4,2018,
2018-03-01,7,2018-03-01 00:00:00,5.04814851e-08,2018-03-01 00:00:00,STATION4,2018,
2018-04-01,3,2018-04-01 00:00:00,5.45386621e-08,2018-04-01 00:00:00,STATION4,2018,
2018-05-01,5,2018-05-01 00:00:00,2.77330561e-08,2018-05-01 00:00:00,STATION4,2018,
2018-06-01,11,2018-06-01 00:00:00,1.9972952e-08,2018-06-01 00:00:00,STATION4,2018,
2018-07-01,7,2018-07-01 00:00:00,1.41780638e-08,2018-07-01 00:00:00,STATION4,2018,
2018-08-01,10,2018-08-01 00:00:00,9.75834667e-09,2018-08-01 00:00:00,STATION4,2018,
2018-09-01,8,2018-09-01 00:00:00,1.48157016e-08,2018-09-01 00:00:00,STATION4,2018,
2018-10-01,10,2018-10-01 00:00:00,2.69173784e-08,2018-10-01 00:00:00,STATION4,2018,
2018-11-01,20,2018-11-01 00:00:00,4.15820481e-08,2018-11-01 00:00:00,STATION4,2018,
2018-12-01,21,2018-12-01 00:00:00,1.29090085e-07,2018-12-01 00:00:00,STATION4,2018,
2019-01-01,8,2019-01-01 00:00:00,9.16957153e-08,2019-01-01 00:00:00,STATION4,2019,
2019-02-01,4,2019-02-01 00:00:00,1.02343443e-07,2019-02-01 00:00:00,STATION4,2019,
2019-03-01,12,2019-03-01 00:00:00,5.79048692e-08,2019-03-01 00:00:00,STATION4,2019,
2019-04-01,3,2019-04-01 00:00:00,4.38486584e-08,2019-04-01 00:00:00,STATION4,2019,
2019-05-01,1,2019-05-01 00:00:00,2.5598587e-08,2019-05-01 00:00:00,STATION4,2019,
2019-06-01,3,2019-06-01 00:00:00,1.55283437e-08,2019-06-01 00:00:00,STATION4,2019,
2019-07-01,4,2019-07-01 00:00:00,1.31761686e-08,2019-07-01 00:00:00,STATION4,2019,
2019-08-01,4,2019-08-01 00:00:00,9.18502899e-09,2019-08-01 00:00:00,STATION4,2019,
2019-09-01,3,2019-09-01 00:00:00,1.81939089e-08,2019-09-01 00:00:00,STATION4,2019,
